i,ego s,ego d,s1,d1,s2,d2,s3,d3,s4,d4,s5,d5,s6,d6,s7,d7,s8,d8,s9,d9,s10,d10,s11,d11,s12,d12
0,2996.91,8.85246,2936.93,10.1833,2888.78,6.25358,2809.71,6.02553,2915.24,2.22156,2989.25,2.47333,3022.28,6.22004,2965.96,10.1947,2835.18,6.03555,2930.98,6.31245,2803.75,2.10484,2912.5,6.31452,2868.32,2.01636,
1,3000.78,9.26252,2939.99,10.1833,2892.03,6.25358,2812.62,6.02553,2918.23,2.22156,2992.26,2.47333,3024.86,6.22004,2968.98,10.1947,2838.44,6.03555,2933.79,6.31245,2806.98,2.10484,2915.37,6.31452,2871.53,2.01636,
2,3004.72,9.63381,2943.05,10.1833,2895.29,6.25358,2815.54,6.02553,2921.22,2.22156,2995.26,2.47333,3027.44,6.22004,2972.01,10.1947,2841.7,6.03555,2936.59,6.31245,2810.2,2.10484,2918.24,6.31452,2874.74,2.01636,
3,3008.68,9.95455,2946.11,10.1833,2898.54,6.25358,2818.45,6.02553,2924.21,2.22156,2998.27,2.47333,3030.02,6.22004,2975.04,10.1947,2844.96,6.03555,2939.4,6.31245,2813.42,2.10484,2921.11,6.31452,2877.95,2.01636,
4,3012.64,10.2175,2949.17,10.1833,2901.79,6.25358,2821.37,6.02553,2927.2,2.22156,3001.27,2.47333,3032.61,6.22004,2978.07,10.1947,2848.22,6.03555,2942.21,6.31245,2816.65,2.10484,2923.98,6.31452,2881.16,2.01636,
5,3016.59,10.4194,2952.23,10.1833,2905.05,6.25358,2824.28,6.02553,2930.19,2.22156,3004.28,2.47333,3035.19,6.22004,2981.1,10.1947,2851.47,6.03555,2945.02,6.31245,2819.87,2.10484,2926.85,6.31452,2884.37,2.01636,
6,3020.5,10.5604,2955.28,10.1833,2908.3,6.25358,2827.2,6.02553,2933.18,2.22156,3007.28,2.47333,3037.77,6.22004,2984.13,10.1947,2854.73,6.03555,2947.82,6.31245,2823.09,2.10484,2929.72,6.31452,2887.58,2.01636,
7,3024.37,10.6437,2958.34,10.1833,2911.56,6.25358,2830.11,6.02553,2936.17,2.22156,3010.29,2.47333,3040.36,6.22004,2987.16,10.1947,2857.99,6.03555,2950.63,6.31245,2826.32,2.10484,2932.59,6.31452,2890.79,2.01636,
8,3028.19,10.6749,2961.4,10.1833,2914.81,6.25358,2833.02,6.02553,2939.16,2.22156,3013.29,2.47333,3042.94,6.22004,2990.19,10.1947,2861.25,6.03555,2953.44,6.31245,2829.54,2.10484,2935.46,6.31452,2894,2.01636,
9,3031.98,10.6615,2964.46,10.1833,2918.06,6.25358,2835.94,6.02553,2942.15,2.22156,3016.3,2.47333,3045.52,6.22004,2993.22,10.1947,2864.51,6.03555,2956.25,6.31245,2832.76,2.10484,2938.33,6.31452,2897.21,2.01636,
10,3035.72,10.6122,2967.52,10.1833,2921.32,6.25358,2838.85,6.02553,2945.14,2.22156,3019.3,2.47333,3048.1,6.22004,2996.25,10.1947,2867.76,6.03555,2959.06,6.31245,2835.99,2.10484,2941.21,6.31452,2900.42,2.01636,
11,3039.44,10.5367,2970.58,10.1833,2924.57,6.25358,2841.77,6.02553,2948.13,2.22156,3022.31,2.47333,3050.69,6.22004,2999.28,10.1947,2871.02,6.03555,2961.86,6.31245,2839.21,2.10484,2944.08,6.31452,2903.63,2.01636,
12,3043.13,10.4449,2973.64,10.1833,2927.82,6.25358,2844.68,6.02553,2951.12,2.22156,3025.31,2.47333,3053.27,6.22004,3002.31,10.1947,2874.28,6.03555,2964.67,6.31245,2842.43,2.10484,2946.95,6.31452,2906.85,2.01636,
13,3046.81,10.3466,2976.7,10.1833,2931.08,6.25358,2847.6,6.02553,2954.11,2.22156,3028.32,2.47333,3055.85,6.22004,3005.34,10.1947,2877.54,6.03555,2967.48,6.31245,2845.65,2.10484,2949.82,6.31452,2910.06,2.01636,
14,3050.48,10.2508,2979.75,10.1833,2934.33,6.25358,2850.51,6.02553,2957.1,2.22156,3031.32,2.47333,3058.43,6.22004,3008.36,10.1947,2880.8,6.03555,2970.29,6.31245,2848.88,2.10484,2952.69,6.31452,2913.27,2.01636,
15,3054.16,10.165,2982.81,10.1833,2937.59,6.25358,2853.42,6.02553,2960.09,2.22156,3034.33,2.47333,3061.02,6.22004,3011.39,10.1947,2884.05,6.03555,2973.09,6.31245,2852.1,2.10484,2955.56,6.31452,2916.48,2.01636,
16,3057.85,10.0953,2985.87,10.1833,2940.84,6.25358,2856.34,6.02553,2963.08,2.22156,3037.33,2.47333,3063.6,6.22004,3014.42,10.1947,2887.31,6.03555,2975.9,6.31245,2855.32,2.10484,2958.43,6.31452,2919.69,2.01636,
17,3061.57,10.045,2988.93,10.1833,2944.09,6.25358,2859.25,6.02553,2966.07,2.22156,3040.34,2.47333,3066.18,6.22004,3017.45,10.1947,2890.57,6.03555,2978.71,6.31245,2858.55,2.10484,2961.3,6.31452,2922.9,2.01636,
18,3065.3,10.0148,2991.99,10.1833,2947.35,6.25358,2862.17,6.02553,2969.06,2.22156,3043.34,2.47333,3068.77,6.22004,3020.48,10.1947,2893.83,6.03555,2981.52,6.31245,2861.77,2.10484,2964.17,6.31452,2926.11,2.01636,
19,3069.04,10.002,2995.05,10.1833,2950.6,6.25358,2865.08,6.02553,2972.05,2.22156,3046.34,2.47333,3071.35,6.22004,3023.51,10.1947,2897.09,6.03555,2984.32,6.31245,2864.99,2.10484,2967.04,6.31452,2929.32,2.01636,
